state,avg_completion,non_completion
Johor,97.73,2.27
Kedah,97.46,2.54
Kelantan,99.35,0.65
Melaka,98.72,1.28
Negeri Sembilan,98.27,1.73
Pahang,97.02,2.98
Perak,97.18,2.82
Perlis,95.95,4.05
Pulau Pinang,97.04,2.96
Sabah,95.35,4.65
Sarawak,96.18,3.82
Selangor,99.26,0.74
Terengganu,99.44,0.56
Kuala Lumpur,96.77,3.23
Labuan,95.1,4.9
Putrajaya,103.63,-3.63
